tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,7500,0.25,0,0.732397942234498,0.7937777777777778,0.6811594202898551
B,7500,0.25,0,0.6393142550369301,0.952,0.5792320173066522
C,7500,0.25,1875,0.7422733916939215,0.8071111111111111,0.689445709946849
C,7500,0.5,3750,0.7451453401995138,0.8133333333333334,0.6910876132930514
C,7500,0.75,5625,0.7472086962299431,0.8142222222222222,0.6934140802422407
C,7500,1.0,7500,0.7533682014928726,0.8248888888888889,0.6977443609022557
C,7500,1.5,11250,0.7702474458038497,0.8435555555555555,0.7129977460555973
C,7500,2.0,15000,0.7813842567050491,0.8497777777777777,0.7253414264036419
C,7500,3.0,22500,0.7772490768074192,0.8506666666666667,0.7195488721804512
C,7500,4.0,30000,0.787137746105343,0.8595555555555555,0.729260935143288
C,7500,5.0,37500,0.7833388954684878,0.8702222222222222,0.7203826342899191
C,7500,6.0,45000,0.7887653146278439,0.8657777777777778,0.7290419161676647
C,7500,7.0,52500,0.7949714841271132,0.864,0.7380410022779044
C,7500,8.0,60000,0.797035817208728,0.8604444444444445,0.7423312883435583
C,7500,9.0,67500,0.8015643961735852,0.8648888888888889,0.7467382962394474
C,7500,10.0,75000,0.808561118119613,0.8693333333333333,0.7546296296296297
