tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,12389,0.25,0,0.7435047209347458,0.8097777777777778,0.6901515151515152
B,12389,0.25,0,0.6524118450652523,0.9546666666666667,0.587527352297593
C,12389,0.25,3097,0.7624478868020916,0.8284444444444444,0.7082066869300911
C,12389,0.5,6194,0.7710569606262264,0.8471111111111111,0.712789827973074
C,12389,0.75,9291,0.7743403939056113,0.8524444444444444,0.715137956748695
C,12389,1.0,12389,0.7727256084910075,0.8444444444444444,0.7159005275056518
C,12389,1.5,18583,0.7838405685939318,0.8568888888888889,0.7259036144578314
C,12389,2.0,24778,0.7875366151342555,0.8631111111111112,0.7284321080270068
C,12389,3.0,37167,0.7871407768709995,0.8586666666666667,0.729607250755287
C,12389,4.0,49556,0.8015022230541156,0.8844444444444445,0.7386785449146251
C,12389,5.0,61945,0.8036223575323833,0.8657777777777778,0.7492307692307693
C,12389,6.0,74334,0.7961514862730252,0.8782222222222222,0.7340267459138187
C,12389,7.0,86723,0.8052695262758521,0.8702222222222222,0.7496171516079633
C,12389,8.0,99112,0.8106208525536203,0.8728888888888889,0.7559661277906081
C,12389,9.0,111501,0.8122676277488061,0.8791111111111111,0.7555385790679908
C,12389,10.0,123890,0.7965865801247409,0.8746666666666667,0.7359760658189978
