tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,1000,0.25,0,0.6327526987575071,0.6755555555555556,0.5905205905205905
B,1000,0.25,0,0.3448220686123912,0.9662222222222222,0.4631444397102684
C,1000,0.25,250,0.6446443724839277,0.6568888888888889,0.6082304526748972
C,1000,0.5,500,0.65126278399821,0.6924444444444444,0.60859375
C,1000,0.75,750,0.6339757375002903,0.6942222222222222,0.5889894419306184
C,1000,1.0,1000,0.6652566478618901,0.6791111111111111,0.6288065843621399
C,1000,1.5,1500,0.6471789526315566,0.6968888888888889,0.6030769230769231
C,1000,2.0,2000,0.6389108164892918,0.7004444444444444,0.5933734939759037
C,1000,3.0,3000,0.6839697303253646,0.7075555555555556,0.6450567260940032
C,1000,4.0,4000,0.6835024512598336,0.704,0.6454767726161369
C,1000,5.0,5000,0.7026470065610549,0.7377777777777778,0.6603023070803501
C,1000,6.0,6000,0.6993522365506512,0.7342222222222222,0.6571201272871917
C,1000,7.0,7000,0.6977954437588989,0.744,0.6523772408417771
C,1000,8.0,8000,0.7097128209005344,0.7795555555555556,0.6574212893553223
C,1000,9.0,9000,0.7277822283597868,0.7662222222222222,0.6841269841269841
C,1000,10.0,10000,0.7368886419226122,0.7822222222222223,0.6907378335949764
