tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,2500,0.25,0,0.6665090309982914,0.7111111111111111,0.622568093385214
B,2500,0.25,0,0.588283984243436,0.9617777777777777,0.5506361323155217
C,2500,0.25,625,0.6895828757074556,0.7422222222222222,0.642802155504234
C,2500,0.5,1250,0.6788605483687251,0.7244444444444444,0.6342412451361867
C,2500,0.75,1875,0.6875223411887876,0.7386666666666667,0.6412037037037037
C,2500,1.0,2500,0.696979805252831,0.7448888888888889,0.6511266511266511
C,2500,1.5,3750,0.7089052990398281,0.7546666666666667,0.66328125
C,2500,2.0,5000,0.7060458446894196,0.7573333333333333,0.6589327146171694
C,2500,3.0,7500,0.740208047267352,0.7911111111111111,0.6920684292379471
C,2500,4.0,10000,0.7575132155950887,0.8186666666666667,0.7052067381316999
C,2500,5.0,12500,0.753786075865258,0.8035555555555556,0.7056986729117877
C,2500,6.0,15000,0.7628441132080077,0.8133333333333334,0.7142857142857143
C,2500,7.0,17500,0.7640874977562483,0.8168888888888889,0.7146189735614308
C,2500,8.0,20000,0.7772649342306541,0.832,0.7267080745341615
C,2500,9.0,22500,0.7612137113723576,0.8168888888888889,0.7107501933488012
C,2500,10.0,25000,0.7838405685939318,0.8355555555555556,0.734375
