tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,2500,0.25,0,0.581217709291905,0.7259615384615384,0.5741444866920152
B,2500,0.25,0,0.6454563335955941,0.8557692307692307,0.6180555555555556
C,2500,0.25,625,0.5779674723694851,0.7067307692307693,0.5719844357976653
C,2500,0.5,1250,0.6182821398011271,0.6538461538461539,0.6153846153846154
C,2500,0.75,1875,0.6036165241450195,0.7211538461538461,0.5928853754940712
C,2500,1.0,2500,0.6501877496352635,0.5288461538461539,0.7142857142857143
C,2500,1.5,3750,0.6739555999833395,0.5721153846153846,0.7300613496932515
C,2500,2.0,5000,0.6708850115619087,0.5336538461538461,0.7551020408163265
C,2500,3.0,7500,0.7399465546634891,0.7692307692307693,0.730593607305936
C,2500,4.0,10000,0.7292410436759561,0.6538461538461539,0.7771428571428571
C,2500,5.0,12500,0.7422264195490497,0.7788461538461539,0.7297297297297297
C,2500,6.0,15000,0.7619957086604889,0.7307692307692307,0.7835051546391752
C,2500,7.0,17500,0.7645284263989299,0.7451923076923077,0.7788944723618091
C,2500,8.0,20000,0.7590828278293946,0.7019230769230769,0.7978142076502732
C,2500,9.0,22500,0.756708238851096,0.7019230769230769,0.7934782608695652
C,2500,10.0,25000,0.7523338048090523,0.7259615384615384,0.7704081632653061
