tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,1000,0.25,0,0.4349357317619491,0.8894230769230769,0.5124653739612188
B,1000,0.25,0,0.3344103392568659,0.9951923076923077,0.5036496350364964
C,1000,0.25,250,0.5268630311306993,0.7692307692307693,0.5387205387205387
C,1000,0.5,500,0.4621696504688832,0.8557692307692307,0.5174418604651163
C,1000,0.75,750,0.5029136182774997,0.8221153846153846,0.531055900621118
C,1000,1.0,1000,0.5283510655499143,0.8605769230769231,0.5474006116207951
C,1000,1.5,1500,0.574973584339421,0.8317307692307693,0.570957095709571
C,1000,2.0,2000,0.5455882352941176,0.9038461538461539,0.5595238095238095
C,1000,3.0,3000,0.5867338789539929,0.8894230769230769,0.5799373040752351
C,1000,4.0,4000,0.5763153639685671,0.9038461538461539,0.5749235474006116
C,1000,5.0,5000,0.5780462184873949,0.9326923076923077,0.5773809523809523
C,1000,6.0,6000,0.6201491911826336,0.9375,0.6
C,1000,7.0,7000,0.6649678760979546,0.8990384615384616,0.6296296296296297
C,1000,8.0,8000,0.6435871968216333,0.9471153846153846,0.6137071651090342
C,1000,9.0,9000,0.6044231661038647,0.9471153846153846,0.5915915915915916
C,1000,10.0,10000,0.7438766629367151,0.8076923076923077,0.721030042918455
