tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,10981,0.25,0,0.6339946698252887,0.39903846153846156,0.8383838383838383
B,10981,0.25,0,0.5448377761059487,0.9567307692307693,0.5637393767705382
C,10981,0.25,2745,0.676617163360909,0.4567307692307692,0.8796296296296297
C,10981,0.5,5490,0.6759381406266451,0.46634615384615385,0.8584070796460177
C,10981,0.75,8235,0.7090663473642197,0.5144230769230769,0.8842975206611571
C,10981,1.0,10981,0.7258614900955346,0.5432692307692307,0.889763779527559
C,10981,1.5,16471,0.7327967123885492,0.5673076923076923,0.8740740740740741
C,10981,2.0,21962,0.7724959185633343,0.6346153846153846,0.8918918918918919
C,10981,3.0,32943,0.7883898709985666,0.6682692307692307,0.8910256410256411
C,10981,4.0,43924,0.7888539282990084,0.6778846153846154,0.88125
C,10981,5.0,54905,0.7986746758199847,0.6875,0.89375
C,10981,6.0,65886,0.7969057164068301,0.7019230769230769,0.874251497005988
C,10981,7.0,76867,0.809381450637056,0.7211538461538461,0.8823529411764706
C,10981,8.0,87848,0.7951704545454545,0.7211538461538461,0.8522727272727273
C,10981,9.0,98829,0.800175077483616,0.7307692307692307,0.8539325842696629
C,10981,10.0,109810,0.7980189364630278,0.7403846153846154,0.8415300546448088
