tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision,max_accuracy
A,11852,0.0,0,0.8685647045717231,0.8549931600547196,0.9044862518089725,0.8694001518602885
B,11852,-1.0,0,0.5209952038369305,0.8577291381668947,0.5865294667913938,0.5854214123006833
C,11852,0.5,5926,0.8695178335535005,0.920656634746922,0.859514687100894,0.8724373576309795
C,11852,1.0,11852,0.8881014455643753,0.8878248974008208,0.9102384291725105,0.8891419893697798
C,11852,1.5,17778,0.8828543174219474,0.8782489740082079,0.9093484419263456,0.8838268792710706
C,11852,2.0,23704,0.8915156507413509,0.8741450068399452,0.9274310595065312,0.8921791951404707
C,11852,3.0,35556,0.8984035009874802,0.8796169630642955,0.934593023255814,0.8990129081245254
