type,total_data,seed,foreign_mult,total_foreign_data,f1,recall,precision
B,500,4,-1.0,500,0.48426899046422317,0.5982222222222222,0.45844686648501365
B,500,5,-1.0,500,0.4794910012093021,0.6088888888888889,0.4563624250499667
B,500,6,-1.0,500,0.31825436654112,1.0,0.4635352286773795
A,500,4,0.0,0,0.48358872880108594,0.6017777777777777,0.4583615436696005
A,500,5,0.0,0,0.4759476798667507,0.6373333333333333,0.45756222080408426
A,500,6,0.0,0,0.31740011409062335,1.0,0.46334431630971995
C,500,4,0.25,125,0.4909309149106428,0.5973333333333334,0.4631288766368022
C,500,5,0.25,125,0.47557861231741017,0.632,0.45664739884393063
C,500,6,0.25,125,0.31740011409062335,1.0,0.46334431630971995
C,500,4,0.5,250,0.4902890774110381,0.5617777777777778,0.45930232558139533
C,500,5,0.5,250,0.4769903787167095,0.6222222222222222,0.45632333767926986
C,500,6,0.5,250,0.4387468907591659,0.7297777777777777,0.451346893897746
C,500,4,0.75,375,0.49069176954585547,0.5937777777777777,0.4626038781163435
C,500,5,0.75,375,0.47416117713720285,0.6231111111111111,0.45460440985732814
C,500,6,0.75,375,0.45398254804057137,0.6933333333333334,0.4529616724738676
C,500,4,1.0,500,0.4892886151836708,0.6026666666666667,0.46248294679399726
C,500,5,1.0,500,0.48587787815377226,0.6133333333333333,0.4612299465240642
C,500,6,1.0,500,0.4556351310908344,0.6808888888888889,0.45191740412979353
C,500,4,1.5,750,0.480467846271743,0.6337777777777778,0.46
C,500,5,1.5,750,0.47179547496707364,0.6142222222222222,0.45192936559843033
C,500,6,1.5,750,0.45685927944428784,0.6764444444444444,0.4519002375296912
C,500,4,2.0,1000,0.48669277145876066,0.6017777777777777,0.4605442176870748
C,500,5,2.0,1000,0.48260919111819417,0.64,0.4621309370988447
C,500,6,2.0,1000,0.45665164733326935,0.6746666666666666,0.4515169541939322
C,500,4,3.0,1500,0.47396585500648575,0.6426666666666667,0.45701643489254107
C,500,5,3.0,1500,0.472087096086427,0.6506666666666666,0.45692883895131087
C,500,6,3.0,1500,0.46033672599128095,0.6666666666666666,0.45235223160434257
C,500,4,4.0,2000,0.4670091675436034,0.6533333333333333,0.4542645241038319
C,500,5,4.0,2000,0.48284822774916736,0.6631111111111111,0.46508728179551123
C,500,6,4.0,2000,0.45651020093829486,0.6693333333333333,0.4506283662477558
C,500,4,5.0,2500,0.4691377883561343,0.6515555555555556,0.45527950310559007
C,500,5,5.0,2500,0.47732588662770614,0.6728888888888889,0.46299694189602447
C,500,6,5.0,2500,0.4560913272065257,0.672,0.45080500894454384
C,500,4,6.0,3000,0.4650722339675829,0.6773333333333333,0.45656081485919714
C,500,5,6.0,3000,0.46272836789326044,0.6702222222222223,0.4542168674698795
C,500,6,6.0,3000,0.46648542301366447,0.6808888888888889,0.45786013150029886
C,500,4,7.0,3500,0.4648328926852417,0.6657777777777778,0.45476624165148755
C,500,5,7.0,3500,0.46612982499861544,0.6702222222222223,0.45614035087719296
C,500,6,7.0,3500,0.46522841899248113,0.6826666666666666,0.45741512805241213
C,500,4,8.0,4000,0.4755043227665706,0.6791111111111111,0.4627498485766202
C,500,5,8.0,4000,0.4806719095743724,0.6835555555555556,0.46634323832625835
C,500,6,8.0,4000,0.4706147936427024,0.6826666666666666,0.460431654676259
C,500,4,9.0,4500,0.48366027101321835,0.6897777777777778,0.4688821752265861
C,500,5,9.0,4500,0.4736673361272269,0.6817777777777778,0.46204819277108433
C,500,6,9.0,4500,0.46705382758840963,0.6835555555555556,0.45855694692904
C,500,4,10.0,5000,0.46656302380226955,0.6835555555555556,0.4582836710369487
C,500,5,10.0,5000,0.47159012216508345,0.6826666666666666,0.460984393757503
C,500,6,10.0,5000,0.4675443192817622,0.6835555555555556,0.4588305489260143
B,1000,4,-1.0,1000,0.47641102721849365,0.6328888888888888,0.45728965960179835
B,1000,5,-1.0,1000,0.47455494112914365,0.6373333333333333,0.456687898089172
B,1000,6,-1.0,1000,0.456231778425656,0.6711111111111111,0.4507462686567164
A,1000,4,0.0,0,0.48736016252192194,0.5982222222222222,0.460643394934976
A,1000,5,0.0,0,0.4754836977914686,0.6373333333333333,0.4572704081632653
A,1000,6,0.0,0,0.47676821433365935,0.6293333333333333,0.45706907682375725
C,1000,4,0.25,250,0.4968781631484088,0.592,0.4670406732117812
C,1000,5,0.25,250,0.4873429785790101,0.6053333333333333,0.4613821138211382
C,1000,6,0.25,250,0.4628274322968647,0.656,0.4522058823529412
C,1000,4,0.5,500,0.48851763086904787,0.6008888888888889,0.46174863387978143
C,1000,5,0.5,500,0.49314803165473897,0.6044444444444445,0.4654346338124572
C,1000,6,0.5,500,0.503226344338499,0.6124444444444445,0.4735395189003436
