tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision,max_accuracy
A,9816,0.0,0,0.638970426622639,0.36977777777777776,0.859504132231405,0.6801152737752162
B,9816,-1.0,0,0.8868968475376315,0.9022222222222223,0.8608990670059372,0.8871963771099218
C,9816,0.5,4908,0.744634995729023,0.5351111111111111,0.9190839694656489,0.7628653766982297
C,9816,1.0,9816,0.7619530786292211,0.5928888888888889,0.8799472295514512,0.7739810621655002
C,9816,1.5,14724,0.6795289626229877,0.43466666666666665,0.8763440860215054,0.7097571016879374
C,9816,2.0,19632,0.8666238044928826,0.7697777777777778,0.9382448537378115,0.869905310827501
C,9816,3.0,29448,0.8181090516243108,0.7191111111111111,0.8755411255411255,0.8225607245780157
