tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision
A,500,0.25,0,0.5788612380791152,0.7414500683994528,0.615909090909091
B,500,0.25,0,0.47505948002744913,0.5567715458276333,0.5341207349081365
C,500,0.25,125,0.4701204648190661,0.45554035567715456,0.5268987341772152
C,500,0.5,250,0.4821322318623992,0.42818057455540354,0.5424610051993067
C,500,0.75,375,0.6062126499878947,0.6238030095759234,0.6551724137931034
C,500,1.0,500,0.565635256051215,0.45690834473324216,0.6587771203155819
C,500,1.5,750,0.493955240665767,0.5649794801641587,0.5499334221038615
C,500,2.0,1000,0.5512294797928228,0.5348837209302325,0.609984399375975
C,500,3.0,1500,0.5866137370753324,0.5540355677154583,0.6500802568218299
C,500,4.0,2000,0.5917748100184361,0.7236662106703147,0.6267772511848341
C,500,5.0,2500,0.5787152517945733,0.5567715458276333,0.6389324960753532
C,500,6.0,3000,0.5847998560837564,0.6908344733242134,0.6234567901234568
C,500,7.0,3500,0.584534582986163,0.7277701778385773,0.6207701283547258
C,500,8.0,4000,0.591022875429655,0.6908344733242134,0.6288916562889165
C,500,9.0,4500,0.6011038511763496,0.6607387140902873,0.6422872340425532
C,500,10.0,5000,0.5981744348886302,0.6839945280437757,0.6361323155216285
