tipe,total_data,foreign_mult,total_foreign_data,max_f1,max_recall,max_precision,max_accuracy
A,12389,0.0,0,0.4025114820703057,0.064,0.5413533834586466,0.5413750514615068
B,12389,-1.0,0,0.8928925160099859,0.9368888888888889,0.8479485116653258,0.8929600658707287
C,12389,0.5,6194,0.5364852863359784,0.21244444444444444,0.8597122302158273,0.6191848497324002
C,12389,1.0,12389,0.7747755448569817,0.5786666666666667,0.9448476052249637,0.7892136681762042
C,12389,1.5,18583,0.779757432223497,0.5884444444444444,0.9443651925820257,0.7933305887196377
C,12389,2.0,24778,0.6116603288765896,0.30844444444444447,0.9278074866310161,0.6685878962536023
